Total processing time: 51.30168104171753s
Total memory used: 1344708608 bytes
files deleted
         25673469 function calls (24553892 primitive calls) in 25.930 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
6407634/5967284    8.028    0.000    9.797    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/glob.py:142(_iterdir)
     18/9    0.000    0.000    9.120    1.013 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/contextlib.py:132(__enter__)
     12/6    0.000    0.000    7.983    1.331 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/pytesseract/pytesseract.py:123(timeout_manager)
      6/3    0.000    0.000    7.983    2.661 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/subprocess.py:1165(communicate)
      6/3    0.000    0.000    7.983    2.661 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/subprocess.py:2062(_communicate)
     12/6    0.279    0.023    7.983    1.330 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/selectors.py:402(select)
      6/5    1.175    0.196    7.562    1.512 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/glob.py:176(_listdir)
     12/6    0.002    0.000    5.259    0.876 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/pytesseract/pytesseract.py:190(save)
6407178/5990004    2.882    0.000    4.955    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/glob.py:108(<genexpr>)
      6/3    0.000    0.000    3.292    1.097 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/pytesseract/pytesseract.py:159(cleanup)
    24/12    0.000    0.000    3.256    0.271 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/glob.py:60(_iglob)
      6/3    0.000    0.000    3.255    1.085 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/glob.py:105(_glob1)
      6/3    0.858    0.143    3.255    1.085 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/fnmatch.py:48(filter)
      6/5    0.000    0.000    2.704    0.541 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/PIL/Image.py:2376(save)
      6/5    0.000    0.000    1.956    0.391 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/PIL/JpegImagePlugin.py:644(_save)
  6407172    1.937    0.000    1.937    0.000 {method 'match' of 're.Pattern' objects}
      6/5    0.000    0.000    1.882    0.376 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/PIL/ImageFile.py:517(_save)
      6/5    0.000    0.000    1.881    0.376 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/PIL/ImageFile.py:545(_encode_tile)
      6/5    1.737    0.289    1.880    0.376 {method 'encode_to_file' of 'ImagingEncoder' objects}
6407634/6146128    1.654    0.000    1.752    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/glob.py:230(_ishidden)
     12/6    5.703    0.475    0.890    0.148 {method 'poll' of 'select.poll' objects}
      6/5    0.000    0.000    0.458    0.092 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/PIL/Image.py:593(_ensure_mutable)
      6/5    0.000    0.000    0.458    0.092 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/PIL/Image.py:587(_copy)
    72/49    0.454    0.006    0.433    0.009 {method 'decode' of 'ImagingDecoder' objects}
    12/10    0.006    0.001    0.396    0.040 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/PIL/ImageFile.py:175(load)
      6/5    0.000    0.000    0.086    0.017 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/subprocess.py:807(__init__)
      6/5    0.002    0.000    0.086    0.017 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/subprocess.py:1791(_execute_child)
       61    0.072    0.001    0.085    0.001 {built-in method _io.open}
      6/5    0.055    0.009    0.080    0.016 {built-in method _posixsubprocess.fork_exec}
       97    0.013    0.000    0.053    0.001 <frozen posixpath>:71(join)
        6    0.022    0.004    0.022    0.004 {method 'copy' of 'ImagingCore' objects}
       54    0.005    0.000    0.016    0.000 {method '__exit__' of '_io._IOBase' objects}
        6    0.000    0.000    0.012    0.002 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/PIL/Image.py:3225(open)
     26/8    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap>:1349(_find_and_load)
     26/8    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    76/12    0.000    0.000    0.010    0.001 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     26/8    0.000    0.000    0.010    0.001 <frozen importlib._bootstrap>:911(_load_unlocked)
     23/7    0.000    0.000    0.010    0.001 <frozen importlib._bootstrap_external>:989(exec_module)
    27/10    0.000    0.000    0.010    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
     21/7    0.000    0.000    0.009    0.001 {built-in method builtins.__import__}
        6    0.000    0.000    0.009    0.001 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/PIL/ImageFile.py:314(load_prepare)
        6    0.009    0.001    0.009    0.001 {built-in method PIL._imaging.new}
     23/7    0.000    0.000    0.008    0.001 {built-in method builtins.exec}
       12    0.000    0.000    0.008    0.001 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/PIL/Image.py:315(preinit)
      257    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
       23    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     1212    0.001    0.000    0.004    0.000 <frozen _collections_abc>:892(__iter__)
        3    0.000    0.000    0.003    0.001 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/tqdm/std.py:760(get_lock)
        1    0.000    0.000    0.003    0.003 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/tqdm/std.py:90(__init__)
        1    0.000    0.000    0.003    0.003 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/tqdm/std.py:116(create_mp_lock)
        1    0.000    0.000    0.002    0.002 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/PIL/BmpImagePlugin.py:1(<module>)
     1210    0.001    0.000    0.002    0.000 <frozen os>:680(__getitem__)
     2418    0.001    0.000    0.002    0.000 <frozen os>:812(fsencode)
       23    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        8    0.000    0.000    0.002    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/tqdm/std.py:1464(display)
        7    0.000    0.000    0.002    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/tqdm/std.py:1325(refresh)
       65    0.001    0.000    0.002    0.000 {built-in method builtins.__build_class__}
        6    0.000    0.000    0.002    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/fnmatch.py:38(_compile_pattern)
       23    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
        6    0.000    0.000    0.002    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/tqdm/std.py:1198(update)
        8    0.000    0.000    0.002    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/re/__init__.py:226(compile)
        8    0.000    0.000    0.002    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/re/__init__.py:280(_compile)
        1    0.000    0.000    0.002    0.002 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/PIL/GifImagePlugin.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/multiprocessing/__init__.py:1(<module>)
       26    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        8    0.000    0.000    0.002    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/tqdm/std.py:1150(__str__)
        8    0.000    0.000    0.002    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/re/_compiler.py:740(compile)
        6    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/concurrent/futures/_base.py:537(set_result)
        8    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/tqdm/std.py:464(format_meter)
        1    0.000    0.000    0.001    0.001 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/multiprocessing/context.py:70(RLock)
        6    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/concurrent/futures/_base.py:81(add_result)
        9    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/threading.py:616(set)
     2413    0.001    0.000    0.001    0.000 <frozen os>:766(decode)
        1    0.000    0.000    0.001    0.001 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/multiprocessing/context.py:1(<module>)
       15    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/threading.py:424(notify_all)
       18    0.001    0.000    0.001    0.000 {built-in method posix.remove}
       26    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
       17    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/threading.py:394(notify)
       26    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
       31    0.001    0.000    0.001    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.001    0.001 /data/lhyman6/OCR/scripts/ocr_measure.py:32(delete_files_in_folder)
        6    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/psutil/__init__.py:322(__init__)
       23    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
        6    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/tempfile.py:537(NamedTemporaryFile)
       31    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
        6    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/psutil/__init__.py:325(_init)
        1    0.000    0.000    0.001    0.001 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/PIL/ImagePalette.py:1(<module>)
       26    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
    18/12    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/psutil/_pslinux.py:1711(wrapper)
       24    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/tqdm/utils.py:378(disp_len)
     1212    0.000    0.000    0.001    0.000 <frozen os>:703(__iter__)
        7    0.001    0.000    0.001    0.000 {built-in method posix.unlink}
        6    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/PIL/Image.py:3292(_open_core)
       24    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/tqdm/utils.py:374(_text_width)
        1    0.000    0.000    0.001    0.001 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/multiprocessing/synchronize.py:1(<module>)
       24    0.000    0.000    0.001    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.001    0.001 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/PIL/PngImagePlugin.py:1(<module>)
       72    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/PIL/JpegImagePlugin.py:411(load_read)
        8    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/re/_parser.py:969(parse)
     1210    0.000    0.000    0.001    0.000 <frozen os>:762(encode)
        1    0.000    0.000    0.001    0.001 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/tqdm/std.py:952(__init__)
       12    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/psutil/_common.py:487(wrapper)
        6    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/psutil/__init__.py:746(create_time)
     14/8    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/re/_parser.py:452(_parse_sub)
        6    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/psutil/_pslinux.py:1943(create_time)
        1    0.000    0.000    0.001    0.001 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/PIL/ImageFile.py:1(<module>)
     4749    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
        6    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/PIL/JpegImagePlugin.py:839(jpeg_factory)
     3629    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
     2040    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/tqdm/utils.py:375(<genexpr>)
     14/8    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/re/_parser.py:512(_parse)
       12    0.000    0.000    0.001    0.000 <frozen posixpath>:431(realpath)
     2419    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
        6    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/PIL/ImageFile.py:108(__init__)
   109/81    0.001    0.000    0.001    0.000 {built-in method posix.stat}
       12    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/subprocess.py:1259(wait)
        8    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/re/_compiler.py:573(_code)
       12    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/subprocess.py:2021(_wait)
        6    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/tempfile.py:577(opener)
        6    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/tempfile.py:243(_mkstemp_inner)
       12    0.000    0.000    0.001    0.000 <frozen posixpath>:440(_joinrealpath)
        6    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/subprocess.py:2008(_try_wait)
       26    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(__enter__)
        6    0.000    0.000    0.001    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/PIL/JpegImagePlugin.py:360(_open)
        6    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
        8    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/tqdm/std.py:457(print_status)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1287(create_module)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
       85    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        3    0.000    0.000    0.000    0.000 {built-in method _imp.create_dynamic}
       23    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        6    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/psutil/_pslinux.py:1766(_parse_stat_file)
        1    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/tqdm/utils.py:333(_screen_shape_linux)
       46    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
        3    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/enum.py:528(__new__)
     2077    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/typing.py:2780(__new__)
        8    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/tqdm/utils.py:386(disp_trim)
       18    0.000    0.000    0.000    0.000 <frozen genericpath>:16(exists)
        7    0.000    0.000    0.000    0.000 {built-in method posix.open}
        1    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/typing.py:2761(_make_nmtuple)
        6    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/shlex.py:305(split)
     2725    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       18    0.000    0.000    0.000    0.000 {built-in method posix.read}
        6    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/tempfile.py:114(_sanitize_params)
        1    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/PIL/ImageMath.py:1(<module>)
    69/61    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x935660}
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
        6    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/subprocess.py:1282(_close_pipe_fds)
        6    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/psutil/_common.py:838(bcat)
        6    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/fnmatch.py:74(translate)
        8    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/re/_compiler.py:511(_compile_info)
        1    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/PIL/JpegImagePlugin.py:1(<module>)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        6    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/tempfile.py:313(gettempdir)
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        6    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/psutil/_common.py:821(cat)
        6    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/subprocess.py:1688(_get_handles)
     22/8    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/re/_compiler.py:37(_compile)
        8    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/tempfile.py:153(__next__)
        2    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/tqdm/std.py:1265(close)
        6    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/psutil/__init__.py:1093(memory_info)
        6    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/tempfile.py:301(_gettempdir)
       48    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
        1    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/tempfile.py:183(_get_default_tempdir)
     2016    0.000    0.000    0.000    0.000 {built-in method unicodedata.east_asian_width}
        6    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/psutil/_pslinux.py:1954(memory_info)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/multiprocessing/process.py:1(<module>)
       16    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/enum.py:1562(__and__)
        1    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/collections/__init__.py:355(namedtuple)
        4    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/tqdm/_monitor.py:47(get_instances)
       18    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/shlex.py:299(__next__)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       13    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/psutil/_common.py:787(open_binary)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      7/6    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/concurrent/futures/thread.py:164(submit)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/psutil/_pslinux.py:1629(boot_time)
       18    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/shlex.py:101(get_token)
       12    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/selectors.py:351(register)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
        1    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/multiprocessing/reduction.py:1(<module>)
        4    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/_weakrefset.py:95(copy)
        8    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/enum.py:254(__set_name__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
       46    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       16    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       12    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/selectors.py:365(unregister)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
  664/642    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        8    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/tqdm/std.py:451(fp_write)
       30    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        5    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/_weakrefset.py:37(__init__)
      345    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       18    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/enum.py:390(__setitem__)
      7/6    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/concurrent/futures/thread.py:183(_adjust_thread_count)
       18    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/shlex.py:133(read_token)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
        6    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/PIL/JpegImagePlugin.py:253(DQT)
        4    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/typing.py:175(_type_check)
       19    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/_weakrefset.py:63(__iter__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
       18    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/contextlib.py:299(helper)
       18    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/site-packages/tqdm/utils.py:194(inner)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
        1    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/multiprocessing/synchronize.py:193(__init__)
       78    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/re/__init__.py:255(escape)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
        3    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       24    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
        1    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/multiprocessing/synchronize.py:50(__init__)
       19    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      251    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/re/_parser.py:168(__getitem__)
        3    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       20    0.000    0.000    0.000    0.000 <frozen posixpath>:416(abspath)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
        3    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
        8    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/tempfile.py:142(rng)
       86    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       12    0.000    0.000    0.000    0.000 /scratch4/lhyman6/conda/ocrenv/lib/python3.12/selectors.py:234(register)
       24    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
